job_id,job_title,company,expected_salary,location,short_description,listed_on,link,error,index,tags,content
84586821,"Marketing Manager (Financial Industry, Based KL) JM50",TRUST RECRUIT PTE. LTD.,"RM 6,000 – RM 8,000 per month",Kuala Lumpur,Oversee the development and implementation of client events,30-09-2024,https://my.jobstreet.com/job/84586821?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,Marketing Manager,SHAKE SHACK MALAYSIA SDN. BHD.,,Kuala Lumpur,The Marketing Manager is a specialist marketer that will drive shake shack content and events management marketing...,29-09-2024,,False,,,
84592905,Senior Clinical Research Associate,,,Kuala Lumpur,You will be our first hire in Malaysia as a Senior CRA to manage the clinical aspects of full-service global phase II and III projects.,30-09-2024,https://my.jobstreet.com/job/84592905?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84576749,"Senior Manager, Investment",CapitaLand Malaysia REIT Management Sdn. Bhd.,,Kuala Lumpur,"Proven leader with deep investment expertise, driving strategic growth, portfolio performance, and innovation in dynamic REITs environments.",29-09-2024,https://my.jobstreet.com/job/84576749?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84547395,"Assistant Manager, Finance",Ormond Group Sdn Bhd,"RM 6,500 – RM 8,000 per month",Kuala Lumpur,"Oversee hotel financial ops, ensure compliance, manage budgets, lead a team, and improve processes, in a dynamic, hospitality-focused environment.",28-09-2024,https://my.jobstreet.com/job/84547395?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84334547,Audit Manager - External,Private Advertiser,"RM 10,000 – RM 15,000 per month",Kuala Lumpur,Audit Manager - External,27-09-2024,https://my.jobstreet.com/job/84334547?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,Sales Manager,Private Advertiser,"RM 6,500 – RM 8,000 per month","Bukit Bintang, Kuala Lumpur",,27-09-2024,,False,,,
,,Private Advertiser,"RM 6,000 – RM 8,000 per month","Kuala Lumpur Sentral, Kuala Lumpur",Regional company looking for local sales representatives who are looking for growth opportunities,27-09-2024,,False,,,
,,,"RM 12,000 – RM 18,000 per month",Kuala Lumpur,Join Premier Clinic's dynamic team and transform lives through innovative & evidence-based aesthetic treatments.,29-09-2024,,False,,,
,Finance & HR Manager,Private Advertiser,"RM 6,000 – RM 8,000 per month","Mont Kiara, Kuala Lumpur",,27-09-2024,,False,,,
84566848,PHARMACEUTICAL SALES SPECIALIST,Private Advertiser,"RM 7,000 – RM 10,500 per month","Mid Valley City, Kuala Lumpur",Salesperson / Business Development subClassification: SalesSalesclassification: Healthcare & Medical(Healthcare & Medical),02-06-2025,https://my.jobstreet.com/job/84566848?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84569150,Sales Manager (Surgical),Stellar Medical Sdn. Bhd.,"RM 6,500 – RM 9,000 per month",Kuala Lumpur,Healthcare Industry Experience * Fast Paced & Teamwork Synergies * Fast track career pathways,02-06-2025,https://my.jobstreet.com/job/84569150?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84561583,"AVP, Cash & FX (Malaysia Direct Custody) - Hybrid",Citi,,Kuala Lumpur,Citi provides programs and services for your physical and mental well-being * Citi provides access to an array of learning and development resources,02-06-2025,https://my.jobstreet.com/job/84561583?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84334179,Chief Nurse (Postnatal care) - Mandarin,Private Advertiser,"RM 6,000 – RM 8,000 per month",Kuala Lumpur,"Diploma or Bachelor's Degree in Nursing or an equivalent qualification. * Proficient in Chinese, English, and Bahasa Malaysia",31-05-2025,https://my.jobstreet.com/job/84334179?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84581961,Head of Business Development (Laboratory),LabLink (M) Sdn Bhd,,Kuala Lumpur,"Career Advancement Opportunities Seeking a Head of Business Development to lead growth strategies, forge partnerships & drive revenue",02-06-2025,https://my.jobstreet.com/job/84581961?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84599371,Deputy General Manager - Sales & Marketing,GD Pavilion Sdn Bhd,"RM 14,000 – RM 16,000 per month",Kuala Lumpur,Competitive salary and commission structure. * Opportunities for professional development and career advancement.,01-06-2025,https://my.jobstreet.com/job/84599371?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,Balenciaga Singapore Pte Ltd,,Kuala Lumpur,Luxury International Retail * Career Opportunities * Development and Training,31-05-2025,https://my.jobstreet.com/Balenciaga-jobs,False,,,
84521911,Senior Golang Engineer,,,"Bangsar South, Kuala Lumpur","Thrive in a dynamic fintech team, build cutting-edge solutions, and drive financial innovation with UQPAY.",31-05-2025,https://my.jobstreet.com/job/84521911?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84593567,"Officer, AML Independent Validation Statistician - C11 (Hybrid), Malaysia",Citi,,Kuala Lumpur,"Whether you’re at the start of your career or looking to discover your next adventure, your story begins here.",01-06-2025,https://my.jobstreet.com/job/84593567?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84528555,"Manager, Health Provider Management & Connected Care",Prudential Assurance Malaysia Berhad,,"Kuala Lumpur City Centre, Kuala Lumpur",You’ll be at the forefront of digital transformation in healthcare provider services.,31-05-2025,https://my.jobstreet.com/job/84528555?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84566970,"Strategic Sales Engineer, Industrial Solutions (New Segments)",The Human Capital,"RM 12,000 – RM 15,000 per month",Kuala Lumpur,Unparalleled Growth Opportunities & Impact in a High-Potential Industrial Market * Offer Solutions for a Superior Product,02-06-2025,https://my.jobstreet.com/job/84566970?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84579825,"Scrum Master (Waterfall & Agile), Senior Analyst",Accenture Solutions Sdn Bhd (MU),"RM 5,500 – RM 8,000 per month",Kuala Lumpur,Work with cutting-edge technologies * Be part of a global team driving innovation * Opportunities for growth and development,02-06-2025,https://my.jobstreet.com/job/84579825?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84590139,SAP BI DevOps Engineer,BASF Asia Pacific Service Centre Sdn Bhd,,Kuala Lumpur,"You will monitor and maintain BI systems in BASF’s private cloud, collaborate with the SAP Basis team, and perform regular housekeeping and testing...",02-06-2025,https://my.jobstreet.com/job/84590139?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,Temokin Development Sdn Bhd,"RM 8,500 – RM 10,500 per month","Sentul, Kuala Lumpur","Be the backbone of our finance team—own end-to-end accounting, ensure accuracy, support audits, and drive smart financial decisions.",02-06-2025,https://my.jobstreet.com/Temokin-Development-jobs,False,,,
